AccidentReported,WeatherConditions,TrafficLevel,RoadConstruction,isBlocked
Yes,Clear,High,No,Yes
Yes,Stormy,High,Yes,No
Yes,Clear,Low,No,No
Yes,Stormy,High,Yes,Yes
Yes,Clear,Low,No,Yes
Yes,Clear,High,Yes,Yes
Yes,Stormy,High,Yes,No
Yes,Stormy,Low,Yes,Yes
Yes,Stormy,Low,No,Yes
No,Stormy,Low,No,Yes
No,Stormy,High,No,Yes
No,Clear,Low,No,No
Yes,Stormy,Low,Yes,Yes
Yes,Stormy,Low,No,Yes
Yes,Clear,Low,Yes,Yes
No,Clear,Low,Yes,Yes
No,Clear,High,Yes,Yes
Yes,Stormy,High,Yes,Yes
Yes,Clear,High,Yes,Yes
Yes,Stormy,Low,Yes,Yes
Yes,Stormy,Low,Yes,No
Yes,Stormy,High,Yes,Yes
Yes,Stormy,High,Yes,No
Yes,Clear,Low,Yes,Yes
Yes,Clear,High,No,Yes
Yes,Clear,Low,Yes,Yes
Yes,Clear,High,No,Yes
Yes,Clear,High,No,Yes
Yes,Clear,High,Yes,No
Yes,Stormy,Low,Yes,Yes
Yes,Stormy,High,Yes,Yes
Yes,Clear,High,No,No
Yes,Clear,Low,No,Yes
No,Clear,Low,No,No
No,Stormy,High,No,Yes
Yes,Clear,Low,No,Yes
Yes,Clear,High,Yes,Yes
Yes,Clear,High,No,Yes
Yes,Stormy,Low,No,Yes
Yes,Clear,Low,Yes,No
Yes,Stormy,Low,Yes,Yes
Yes,Stormy,Low,No,Yes
Yes,Stormy,Low,No,Yes
No,Stormy,High,No,No
No,Stormy,High,No,Yes
Yes,Clear,Low,Yes,Yes
Yes,Clear,Low,Yes,Yes
Yes,Clear,High,No,Yes
Yes,Clear,High,No,Yes
No,Clear,Low,Yes,Yes
Yes,Clear,High,No,Yes
Yes,Clear,Low,No,Yes
Yes,Stormy,Low,No,No
Yes,Clear,High,No,Yes
Yes,Stormy,Low,No,Yes
Yes,Clear,High,No,Yes
Yes,Stormy,High,Yes,Yes
Yes,Stormy,Low,No,Yes
Yes,Clear,High,No,Yes
Yes,Stormy,Low,No,Yes
Yes,Stormy,Low,Yes,Yes
Yes,Clear,High,No,No
Yes,Stormy,Low,Yes,Yes
Yes,Stormy,Low,Yes,Yes
Yes,Clear,High,No,Yes
Yes,Stormy,High,Yes,Yes
Yes,Stormy,High,Yes,Yes
Yes,Stormy,High,Yes,No
Yes,Stormy,Low,No,Yes
Yes,Clear,High,No,Yes
No,Clear,Low,No,Yes
Yes,Clear,High,No,Yes
Yes,Clear,High,Yes,Yes
No,Clear,Low,No,Yes
Yes,Stormy,High,Yes,Yes
